cr_film_id,url,title,original_title,year,preferred_lang_class,display_name,candidate_count,failure_reasons,candidate_upload_ids
16834,https://ceskarepublika.wiki/filmy-online/zemrit-stastny,Zemřít šťastný,The Etruscan Smile,2018,CZ_DUB,Zemřít šťastný (2018) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/zemrit-stastny-2018-cz-dabing/f274d5d91b1a916b,f274d5d91b1a916b
17523,https://ceskarepublika.wiki/filmy-online/dark-harbor,Dark Harbor,Dark Harbor,2019,CZ_DUB,Dark Harbor (2019) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/dark-harbor-2019-cz-dabing-mp4/5967e1d01e77e2d1,5967e1d01e77e2d1
14157,https://ceskarepublika.wiki/filmy-online/doktore,Doktore?,Docteur ?,2019,CZ_DUB,Doktore? (2019) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/doktore-docteur-2019-1080p-bluray-cz-dabing-miki-mp4/673cbacb028ad,673cbacb028ad
17460,https://ceskarepublika.wiki/filmy-online/falesne-bezpeci,Falešné bezpečí,Who's Stalking Me?,2019,CZ_DUB,Falešné bezpečí (2019) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/falesne-bezpeci-2019-cz-dabing/29759ba1b1297055,29759ba1b1297055
4617,https://ceskarepublika.wiki/filmy-online/kouzelny-svet-davida-copperfielda,Kouzelný svět Davida Copperfielda,The Personal History of David Copperfield,2019,CZ_NATIVE,Kouzelný svět Davida Copperfielda (2019) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kouzelny-svet-davida-copperfielda-2019-hd-cz-mp4/9562a848f80b8eb5,9562a848f80b8eb5
9686,https://ceskarepublika.wiki/filmy-online/loveni,LOVEní,LOVEní,2019,CZ_DUB,LOVEní (2019) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/loveni-2019-cz-dab-1080p/6a4bccc49daedb40 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/loveni-2019-cz-dab-1080p/b83c416453f2ea83,6a4bccc49daedb40;b83c416453f2ea83
446,https://ceskarepublika.wiki/filmy-online/male-zeny,Malé ženy,Little Women,2019,CZ_DUB,Malé ženy (2019) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/male-zeny-2019-cz-dabing-full-hd-drama-top-kvalita-331482/a62b1e06f54fed94 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/male-zeny-2019/56a5b74e1612e3d1,a62b1e06f54fed94;56a5b74e1612e3d1
4614,https://ceskarepublika.wiki/filmy-online/muj-andilek,Můj andílek,Angel of Mine,2019,CZ_DUB,Můj andílek (2019) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/muj-andilek-2019-cz-dabing/f50ebcac71ad86cb,f50ebcac71ad86cb
9217,https://ceskarepublika.wiki/filmy-online/nebezpecne-touhy,Nebezpečné touhy,My Evil Stepdad,2019,CZ_DUB,Nebezpečné touhy (2019) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/nebezpecne-touhy-2019-cz-dabing-hd-mp4/74a8d3708faeff31,74a8d3708faeff31
9775,https://ceskarepublika.wiki/filmy-online/osudny-vikend,Osudný víkend,Fatal Getaway,2019,CZ_DUB,Osudný víkend (2019) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/osudny-vikend-2019-cz-dabing-hd-mp4/802157e44b30ccb5,802157e44b30ccb5
